date,subject,time-in,time-out
11/6/2018,Web Authoring 1 CIS 195,8,10
11/6/2018,Web Authoring 1 CIS 195,8,10
11/6/2018,Beginning Programming:  C# CS 133N,9,10
11/6/2018,Inter Mobile App Dev:Android CS 235AM,9,10
11/6/2018,Software Tools 1:  Game Devel CIS 125G,9,10
11/6/2018,Web Development 1 ASP.NET CS 295N,9,15
11/6/2018,Beginning Programming:  C# CS 133N,9,10
11/6/2018,Other,9,14
11/6/2018,Web Authoring 1 CIS 195,9,10
11/6/2018,Web Authoring 1 CIS 195,9,10
11/6/2018,Beginning Programming:  C# CS 133N,9,13
11/6/2018,Systems Analysis CIS 244,10,12
11/6/2018,Beginning Programming:  C# CS 133N,10,13
11/6/2018,Data Structures 1 CS 260,10,11
11/6/2018,Web Authoring 1 CIS 195,10,12
11/6/2018,Web Authoring 1 CIS 195,10,12
11/6/2018,Wireless Networking CS 188,11,12
11/6/2018,Intermediate Prog.: Python CS 233P,11,14
11/6/2018,Data Structures 1 CS 260,11,12
11/6/2018,Beginning Programming:  C# CS 133N,11,13
11/6/2018,Intermediate Prog.: Python CS 233P,11,14
11/6/2018,Hangout,11,13
11/6/2018,Hangout,11,13
11/6/2018,Intro to Computer Networks CS 179,11,14
11/6/2018,Web Authoring 1 CIS 195,11,14
11/6/2018,Other,12,14
11/6/2018,Data Structures 1 CS 260,12,13
11/6/2018,Adv. Unix/Linux:Server Mgmt. CS 240U,13,14
11/6/2018,Hangout,13,14
11/6/2018,Software Tools 1:  Game Devel CIS 125G,15,16
11/6/2018,Intro to Unix/Linux CIS 140U,15,17
11/6/2018,Intermediate Prog.: Python CS 233P,16,17
11/9/2018,Software Tools 1:  Databases CIS 125D,8,9
11/9/2018,Data Structures 1 CS 260,9,10
11/9/2018,Other,9,10
11/9/2018,Data Structures 1 CS 260,9,10
11/9/2018,Beginning Programming:  C# CS 133N,9,11
11/9/2018,Hangout,10,12
11/9/2018,Computer Science 1 CS 161C+,10,11
11/9/2018,Software Tools 1:  Game Devel CIS 125G,11,12
11/9/2018,Systems Analysis CIS 244,13,14
11/9/2018,Inter Mobile App Dev:Android CS 235AM,14,17
11/1/2018,Computer Science 1 CS 161C+,8,9
11/1/2018,Web Authoring 1 CIS 195,8,10
11/1/2018,Beginning Programming:  C# CS 133N,8,10
11/1/2018,Beginning Programming:  C# CS 133N,9,10
11/1/2018,Web Authoring 1 CIS 195,9,10
11/1/2018,Intro to Unix/Linux CIS 140U,9,10
11/1/2018,Web Authoring 1 CIS 195,9,10
11/1/2018,Hangout,9,10
11/1/2018,Web Authoring 1 CIS 195,9,10
11/1/2018,Systems Analysis CIS 244,9,12
11/1/2018,Beginning Programming:  C# CS 133N,9,12
11/1/2018,Systems Analysis CIS 244,11,12
11/1/2018,Intermediate Prog.: Python CS 233P,11,14
11/1/2018,Beginning Programming:  C# CS 133N,11,12
11/1/2018,Other,11,14
11/1/2018,Intermediate Prog.: Python CS 233P,11,14
